problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,50,100,20,378.5,0.0,133.1,0.35165125495376487,0.017582562747688244
Rastrigin,50,200,1,308.7,0.0,261.4,0.8467768059604794,0.8467768059604794
Rastrigin,50,200,2,245.1,0.0,261.4,1.0665034679722563,0.5332517339861281
Rastrigin,50,200,4,207.0,0.0,261.4,1.2628019323671495,0.3157004830917874
Rastrigin,50,200,8,260.7,0.0,261.4,1.0026850786344457,0.1253356348293057
Rastrigin,50,200,16,337.7,0.0,261.4,0.7740598164050932,0.04837873852531833
Rastrigin,50,200,20,415.4,0.0,261.4,0.6292729898892634,0.03146364949446317
Rastrigin,50,500,1,744.5,0.0,680.9,0.9145735392881128,0.9145735392881128
Rastrigin,50,500,2,502.9,0.0,680.9,1.353947106780672,0.676973553390336
Rastrigin,50,500,4,356.7,0.0,680.9,1.908887019904682,0.4772217549761705
Rastrigin,50,500,8,405.4,0.0,680.9,1.679575727676369,0.20994696595954612
Rastrigin,50,500,16,471.0,0.0,680.9,1.445647558386412,0.09035297239915074
Rastrigin,50,500,20,524.2,0.0,680.9,1.2989317054559326,0.06494658527279663
Rastrigin,50,1000,1,1502.7,0.0,1286.4,0.8560590936314634,0.8560590936314634
Rastrigin,50,1000,2,902.2,0.0,1286.4,1.4258479272888496,0.7129239636444248
Rastrigin,50,1000,4,598.7,0.0,1286.4,2.148655420076833,0.5371638550192083
Rastrigin,50,1000,8,838.4,0.0,1286.4,1.5343511450381682,0.19179389312977102
Rastrigin,50,1000,16,2934.6,0.0,1286.4,0.4383561643835617,0.027397260273972605
Rastrigin,50,1000,20,2699.6,0.0,1286.4,0.4765150392650764,0.02382575196325382
Rastrigin,100,50,1,358.5,0.0,126.5,0.3528591352859135,0.3528591352859135
Rastrigin,100,50,2,407.8,0.0,126.5,0.31020107896027466,0.15510053948013733
Rastrigin,100,50,4,422.3,0.0,126.5,0.29955008287946955,0.07488752071986739
Rastrigin,100,50,8,595.8,0.0,126.5,0.21231957032561263,0.02653994629070158
Rastrigin,100,50,16,844.0,0.0,126.5,0.14988151658767773,0.009367594786729858
Rastrigin,100,50,20,981.1,0.0,126.5,0.12893690755274692,0.006446845377637346
Rastrigin,100,100,1,695.4,0.0,256.7,0.3691400632729364,0.3691400632729364
Rastrigin,100,100,2,663.1,0.0,256.7,0.38712109787362387,0.19356054893681193
Rastrigin,100,100,4,735.3,0.0,256.7,0.34910920712634297,0.08727730178158574
Rastrigin,100,100,8,792.7,0.0,256.7,0.32382994827803707,0.040478743534754634
Rastrigin,100,100,16,1035.6,0.0,256.7,0.24787562765546545,0.01549222672846659
Rastrigin,100,100,20,772.2,0.0,256.7,0.3324268324268324,0.016621341621341622
Rastrigin,100,200,1,592.9,0.0,515.2,0.8689492325855963,0.8689492325855963
Rastrigin,100,200,2,402.9,0.0,515.2,1.2787292132042691,0.6393646066021346
Rastrigin,100,200,4,291.9,0.0,515.2,1.7649880095923265,0.4412470023980816
Rastrigin,100,200,8,336.3,0.0,515.2,1.5319655069878086,0.19149568837347608
Rastrigin,100,200,16,406.7,0.0,515.2,1.2667814113597247,0.07917383820998279
Rastrigin,100,200,20,488.2,0.0,515.2,1.0553052027857437,0.05276526013928719
Rastrigin,100,500,1,1432.2,0.0,1261.2,0.8806032677000419,0.8806032677000419
Rastrigin,100,500,2,874.0,0.0,1261.2,1.4430205949656751,0.7215102974828376
Rastrigin,100,500,4,581.9,0.0,1261.2,2.1673827118061526,0.5418456779515382
Rastrigin,100,500,8,659.7,0.0,1261.2,1.9117780809458844,0.23897226011823555
Rastrigin,100,500,16,598.0,0.0,1261.2,2.109030100334448,0.131814381270903
Rastrigin,100,500,20,622.9,0.0,1261.2,2.024723069513566,0.1012361534756783
Rastrigin,100,1000,1,2889.2,0.0,2533.6,0.8769209469749412,0.8769209469749412
Rastrigin,100,1000,2,1667.7,0.0,2533.6,1.5192180847874317,0.7596090423937158
Rastrigin,100,1000,4,1047.9,0.0,2533.6,2.4177879568661127,0.6044469892165282
Rastrigin,100,1000,8,1002.5,0.0,2533.6,2.5272817955112217,0.3159102244389027
Rastrigin,100,1000,16,860.1,0.0,2533.6,2.9457039879083826,0.1841064992442739
Rastrigin,100,1000,20,910.8,0.0,2533.6,2.781730346947738,0.13908651734738692
Rastrigin,500,50,1,1182.7,3.63798e-12,644.4,0.5448549928130548,0.5448549928130548
Rastrigin,500,50,2,472.0,3.63798e-12,644.4,1.3652542372881356,0.6826271186440678
