problem,N,POP_SIZE,threads,avg_ms_par,best_fitness_last_run,avg_ms_ser,speedup,efficiency
Rastrigin,1000,50,8,375.6,1.70785e-08,865.2,2.303514376996805,0.28793929712460065
Rastrigin,1000,50,16,254.4,1.70785e-08,865.2,3.400943396226415,0.21255896226415094
Rastrigin,1000,50,20,277.2,1.70785e-08,865.2,3.1212121212121215,0.15606060606060607
Rastrigin,1000,100,2,1084.6,1.00412,1733.6,1.5983772819472617,0.7991886409736308
Rastrigin,1000,100,4,679.8,1.00412,1733.6,2.5501618122977345,0.6375404530744336
Rastrigin,1000,100,8,692.4,1.00412,1733.6,2.5037550548815712,0.3129693818601964
Rastrigin,1000,100,16,476.4,1.00412,1733.6,3.638958858102435,0.2274349286314022
Rastrigin,1000,100,20,431.2,1.00412,1733.6,4.020408163265306,0.2010204081632653
Rastrigin,1000,200,2,2226.6,2.91038e-11,3497.0,1.5705560046707987,0.7852780023353993
Rastrigin,1000,200,4,1356.6,2.91038e-11,3497.0,2.5777679492849774,0.6444419873212444
Rastrigin,1000,200,8,1440.8,2.91038e-11,3497.0,2.4271238200999448,0.3033904775124931
Rastrigin,1000,200,16,1009.4,2.91038e-11,3497.0,3.464434317416287,0.21652714483851793
Rastrigin,1000,200,20,853.2,2.91038e-11,3497.0,4.098687294889826,0.2049343647444913
Rastrigin,1000,500,2,5527.6,7.27596e-12,8729.2,1.579202547217599,0.7896012736087995
Rastrigin,1000,500,4,3505.0,7.27596e-12,8729.2,2.4904992867332383,0.6226248216833096
Rastrigin,1000,500,8,3811.6,7.27596e-12,8729.2,2.2901668590618116,0.28627085738272645
Rastrigin,1000,500,16,3363.4,7.27596e-12,8729.2,2.595349943509544,0.1622093714693465
Rastrigin,1000,500,20,2613.6,7.27596e-12,8729.2,3.3399142944597493,0.16699571472298746
Rastrigin,1000,1000,2,10908.0,3.63798e-12,17891.4,1.6402090209020903,0.8201045104510452
Rastrigin,1000,1000,4,6750.0,3.63798e-12,17891.4,2.650577777777778,0.6626444444444445
Rastrigin,1000,1000,8,7340.6,3.63798e-12,17891.4,2.4373211999019153,0.3046651499877394
Rastrigin,1000,1000,16,5443.6,3.63798e-12,17891.4,3.2866852817988095,0.2054178301124256
Rastrigin,1000,1000,20,4358.6,3.63798e-12,17891.4,4.10485018125086,0.20524250906254302
